pincombination,date,Split,Frequency,Zreal,Zimag,Zmod,Zphase,rh,Replicate,run,Path,TCN
9-12,021119,B,1976.103,962947,-59655550,59663320,-89.07523,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,1577.524,2526481,-73843020,73886220,-88.04044,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,1265.625,2056688,-91060810,91084030,-88.70615,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,998.264,2221596,-115275700,115297100,-88.89594,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,796.875,4104669,-144769800,144828000,-88.37592,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,627.7902,4546298,-182880100,182936600,-88.57595,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,505.5147,5442340,-223387200,223453500,-88.60439,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,397.9953,6190119,-287045700,287112400,-88.76461,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,315.5048,7491954,-360395800,360473700,-88.8091,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,252.4038,10869100,-448346800,448478600,-88.61127,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,198.6229,16817060,-573827600,574074000,-88.32133,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,158.3615,28173280,-708626900,709186800,-87.72326,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,125.558,36079160,-895997000,896723100,-87.69411,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,100.4464,49164330,-1131818000,1132885000,-87.51273,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,79.00281,29919810,-1393642000,1393964000,-88.77012,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,63.3446,103970200,-1611589000,1614939000,-86.30873,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,49.86702,90384410,-2254570000,2256381000,-87.70428,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,39.72458,103217200,-2793623000,2795529000,-87.88403,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,31.6723,238029000,-3330979000,3339472000,-85.91264,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,24.93351,368918000,-4344259000,4359895000,-85.14604,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,19.86229,345305800,-5636016000,5646584000,-86.494,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,15.83615,997159400,-7363136000,7430350000,-82.28759,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,12.40079,473995600,-7913264000,7927447000,-86.57214,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,9.93114,564989600,-10668430000,10683380000,-86.96851,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,125953.1,3497.307,-945014.5,945021,-89.78796,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,100078.1,9249.735,-1191029,1191065,-89.55504,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,79453.13,10830.74,-1497608,1497647,-89.58564,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,63140.62,18356.75,-1882293,1882382,-89.44125,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,50203.12,18516.12,-2359309,2359382,-89.55035,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,39890.62,37109.04,-2946461,2946695,-89.27843,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,31640.63,36298.56,-3727517,3727694,-89.44207,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,25171.88,8811.428,-4698095,4698103,-89.89254,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,20015.62,82216.27,-5865497,5866073,-89.19695,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,15890.62,97659.1,-7326389,7327040,-89.23631,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,12609.37,134051,-9342912,9343874,-89.17799,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,10078.13,127023.9,-11676920,11677610,-89.37675,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,8015.625,229885.7,-14678460,14680260,-89.10274,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,6328.125,343596.9,-18485960,18489160,-88.93517,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,5015.625,457798.4,-23091950,23096490,-88.86426,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,3984.375,299948.5,-29185550,29187100,-89.41118,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,3170.956,1129898,-36314480,36332050,-88.21786,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,2527.573,936981.4,-45904730,45914290,-88.83067,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,1976.103,1383383,-58118160,58134620,-88.63645,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,1577.524,3306690,-73287170,73361730,-87.41659,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,1265.625,3165660,-91084820,91139820,-88.00948,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
